Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year
Philippines,33.62,10.34,22.55,33.61,20.08,20.06,2022 (mid)
Albania,33.6,8.22,21.53,27.65,22.94,28.65,2022 (mid)
Kenya,33.36,7.49,21.05,31.39,28.15,32.19,2022 (mid)
Serbia,33.35,7.54,21.07,26.79,27.18,41.56,2022 (mid)
Myanmar,33.14,19.26,26.54,35.62,18.18,28.1,2022 (mid)
Bolivia,32.57,8.54,21.14,29.14,22.99,36.5,2022 (mid)
Cameroon,32.5,5.49,19.65,33.26,21.47,16.95,2022 (mid)
Bosnia And Herzegovina,32.24,5.31,19.42,28.57,20.8,46.51,2022 (mid)
Indonesia,32.2,8.2,20.78,35.14,16.73,25.52,2022 (mid)
Argentina,32.13,6.88,20.12,26.83,27.99,33.64,2022 (mid)
Somalia,31.92,5.03,19.13,35,24.82,30.7,2022 (mid)
Iraq,31.81,9.44,21.17,27.78,25.89,43.58,2022 (mid)
Uganda,31.41,9.03,20.76,28.69,22.04,11.76,2022 (mid)
Rwanda,30.82,13.39,22.53,26.69,25.02,26.3,2022 (mid)
Peru,30.74,10.18,20.95,29.23,20.23,28.52,2022 (mid)
Ukraine,30.7,10.79,21.22,27.11,26.24,36.29,2022 (mid)
Paraguay,30.24,9.52,20.38,26.15,22.37,25.45,2022 (mid)
Tanzania,30.13,10.09,20.6,28.2,21.42,17.67,2022 (mid)
Nigeria,30.01,32.85,31.36,33.07,20,8.25,2022 (mid)
Ghana,29.98,17.93,24.25,31.08,22.73,17.06,2022 (mid)
Morocco,29.71,7.27,19.03,26.43,20.4,32.67,2022 (mid)
Bangladesh,29.28,3.57,17.05,27.95,17.55,25.34,2022 (mid)
Moldova,28.92,7.4,18.68,24.44,23.96,33.37,2022 (mid)
North Macedonia,28.51,5.05,17.35,24.75,19.43,35.57,2022 (mid)
Turkey,28.38,6.48,17.96,23.7,17.25,28.04,2022 (mid)
Azerbaijan,28.33,6.4,17.9,25.66,24.95,29.36,2022 (mid)
Kazakhstan,26.45,8.39,17.86,23.73,25.19,35.23,2022 (mid)
Belarus,26.39,8.32,17.8,24.17,25.8,32.31,2022 (mid)
Uzbekistan,26.3,9.84,18.47,25.31,22.58,24.06,2022 (mid)
Egypt,26.27,5.49,16.39,24.62,22.05,21.72,2022 (mid)
